REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 1.000*energy)
N=12 hidden=10 K=3, 30 seeds x 0 gens, PSLIDE=0.150
compact conv = width -> K, coverage -> 1, shared-frac -> 1

SENSITIVITY  placement: objective 0.5950..0.9283 (span 0.3333) at energy 0.025000..0.025000
SENSITIVITY  width:     objective 0.4283..0.8567 (span 0.4283)

  arm             shared-frac  mean-w  max-w  coverage  energy   test
RAW 0 0 1 1.0000 12.0000 12.0000 0.0000 1.000000 0.9050
RAW 0 0 2 1.0000 12.0000 12.0000 0.0000 1.000000 0.9130
RAW 0 0 3 1.0000 12.0000 12.0000 0.0000 1.000000 0.9030
RAW 0 0 4 1.0000 12.0000 12.0000 0.0000 1.000000 0.9030
RAW 0 0 5 1.0000 12.0000 12.0000 0.0000 1.000000 0.8670
RAW 0 0 6 1.0000 12.0000 12.0000 0.0000 1.000000 0.8740
RAW 0 0 7 1.0000 12.0000 12.0000 0.0000 1.000000 0.9050
RAW 0 0 8 1.0000 12.0000 12.0000 0.0000 1.000000 0.9080
RAW 0 0 9 1.0000 12.0000 12.0000 0.0000 1.000000 0.9330
RAW 0 0 10 1.0000 12.0000 12.0000 0.0000 1.000000 0.9310
RAW 0 0 11 1.0000 12.0000 12.0000 0.0000 1.000000 0.9180
RAW 0 0 12 1.0000 12.0000 12.0000 0.0000 1.000000 0.8690
RAW 0 0 13 1.0000 12.0000 12.0000 0.0000 1.000000 0.9030
RAW 0 0 14 1.0000 12.0000 12.0000 0.0000 1.000000 0.8590
RAW 0 0 15 1.0000 12.0000 12.0000 0.0000 1.000000 0.8920
RAW 0 0 16 1.0000 12.0000 12.0000 0.0000 1.000000 0.8860
RAW 0 0 17 1.0000 12.0000 12.0000 0.0000 1.000000 0.8740
RAW 0 0 18 1.0000 12.0000 12.0000 0.0000 1.000000 0.8530
RAW 0 0 19 1.0000 12.0000 12.0000 0.0000 1.000000 0.8250
RAW 0 0 20 1.0000 12.0000 12.0000 0.0000 1.000000 0.9220
RAW 0 0 21 1.0000 12.0000 12.0000 0.0000 1.000000 0.9150
RAW 0 0 22 1.0000 12.0000 12.0000 0.0000 1.000000 0.8620
RAW 0 0 23 1.0000 12.0000 12.0000 0.0000 1.000000 0.8410
RAW 0 0 24 1.0000 12.0000 12.0000 0.0000 1.000000 0.8000
RAW 0 0 25 1.0000 12.0000 12.0000 0.0000 1.000000 0.9210
RAW 0 0 26 1.0000 12.0000 12.0000 0.0000 1.000000 0.9340
RAW 0 0 27 1.0000 12.0000 12.0000 0.0000 1.000000 0.9290
RAW 0 0 28 1.0000 12.0000 12.0000 0.0000 1.000000 0.9530
RAW 0 0 29 1.0000 12.0000 12.0000 0.0000 1.000000 0.9000
RAW 0 0 30 1.0000 12.0000 12.0000 0.0000 1.000000 0.9250
  0 no-rewire      0.000       12.00    12.00   1.000    1.0000   0.894
RAW 1 0 1 1.0000 12.0000 12.0000 0.0000 1.000000 0.9050
RAW 1 0 2 1.0000 12.0000 12.0000 0.0000 1.000000 0.9130
RAW 1 0 3 1.0000 12.0000 12.0000 0.0000 1.000000 0.9030
RAW 1 0 4 1.0000 12.0000 12.0000 0.0000 1.000000 0.9030
RAW 1 0 5 1.0000 12.0000 12.0000 0.0000 1.000000 0.8670
RAW 1 0 6 1.0000 12.0000 12.0000 0.0000 1.000000 0.8740
RAW 1 0 7 1.0000 12.0000 12.0000 0.0000 1.000000 0.9050
RAW 1 0 8 1.0000 12.0000 12.0000 0.0000 1.000000 0.9080
RAW 1 0 9 1.0000 12.0000 12.0000 0.0000 1.000000 0.9330
RAW 1 0 10 1.0000 12.0000 12.0000 0.0000 1.000000 0.9310
RAW 1 0 11 1.0000 12.0000 12.0000 0.0000 1.000000 0.9180
RAW 1 0 12 1.0000 12.0000 12.0000 0.0000 1.000000 0.8690
