PLACEMENT SENSITIVITY  (w[j]=K=3 fixed, shared=1 -> energy constant by construction)
cfg seed coverage energy objective acc
 0  1 0.2500 0.025000 0.727000 0.7270
 1  1 0.5000 0.025000 0.704000 0.7040
 2  1 1.0000 0.025000 0.798000 0.7980
 3  1 0.9167 0.025000 0.777000 0.7770
 4  1 1.0000 0.025000 0.797000 0.7970
 5  1 0.9167 0.025000 0.744000 0.7440
 6  1 1.0000 0.025000 0.825000 0.8250
 7  1 0.7500 0.025000 0.814000 0.8140
 8  1 0.9167 0.025000 0.742000 0.7420
 9  1 1.0000 0.025000 0.771000 0.7710
10  1 1.0000 0.025000 0.811000 0.8110
11  1 0.7500 0.025000 0.750000 0.7500
12  1 0.9167 0.025000 0.735000 0.7350
13  1 0.8333 0.025000 0.767000 0.7670
14  1 0.9167 0.025000 0.784000 0.7840
15  1 0.9167 0.025000 0.735000 0.7350
16  1 0.7500 0.025000 0.618000 0.6180
17  1 1.0000 0.025000 0.813000 0.8130
18  1 0.8333 0.025000 0.652000 0.6520
19  1 0.7500 0.025000 0.766000 0.7660
20  1 1.0000 0.025000 0.807000 0.8070
21  1 1.0000 0.025000 0.781000 0.7810
22  1 0.9167 0.025000 0.735000 0.7350
23  1 1.0000 0.025000 0.818000 0.8180
 0  2 0.2500 0.025000 0.675000 0.6750
 1  2 0.5000 0.025000 0.680000 0.6800
 2  2 1.0000 0.025000 1.975000 0.9010
 3  2 0.9167 0.025000 1.975000 0.9050
 4  2 1.0000 0.025000 1.975000 0.9140
 5  2 0.6667 0.025000 0.827000 0.8270
 6  2 1.0000 0.025000 0.888000 0.8880
 7  2 0.9167 0.025000 0.846000 0.8460
 8  2 0.8333 0.025000 0.863000 0.8630
 9  2 0.8333 0.025000 1.975000 0.9130
10  2 0.7500 0.025000 0.852000 0.8520
11  2 1.0000 0.025000 0.853000 0.8530
12  2 0.9167 0.025000 0.860000 0.8600
13  2 1.0000 0.025000 0.881000 0.8810
14  2 0.8333 0.025000 0.884000 0.8840
15  2 1.0000 0.025000 1.975000 0.9310
16  2 1.0000 0.025000 0.868000 0.8680
17  2 1.0000 0.025000 0.873000 0.8730
18  2 0.9167 0.025000 0.870000 0.8700
19  2 1.0000 0.025000 1.975000 0.9030
20  2 1.0000 0.025000 0.881000 0.8810
21  2 0.6667 0.025000 0.721000 0.7210
22  2 1.0000 0.025000 0.857000 0.8570
23  2 0.9167 0.025000 0.853000 0.8530
 0  3 0.2500 0.025000 0.660000 0.6600
 1  3 0.5000 0.025000 0.675000 0.6750
 2  3 1.0000 0.025000 0.751000 0.7510
 3  3 0.9167 0.025000 0.664000 0.6640
 4  3 1.0000 0.025000 0.783000 0.7830
 5  3 0.9167 0.025000 0.678000 0.6780
 6  3 1.0000 0.025000 0.714000 0.7140
 7  3 0.8333 0.025000 0.661000 0.6610
 8  3 0.8333 0.025000 0.711000 0.7110
 9  3 0.9167 0.025000 0.700000 0.7000
10  3 0.9167 0.025000 0.631000 0.6310
11  3 0.7500 0.025000 0.712000 0.7120
12  3 0.8333 0.025000 0.671000 0.6710
13  3 1.0000 0.025000 0.729000 0.7290
14  3 0.8333 0.025000 0.671000 0.6710
15  3 1.0000 0.025000 0.730000 0.7300
16  3 0.9167 0.025000 0.719000 0.7190
17  3 0.8333 0.025000 0.699000 0.6990
18  3 0.6667 0.025000 0.642000 0.6420
19  3 0.8333 0.025000 0.698000 0.6980
20  3 0.9167 0.025000 0.721000 0.7210
21  3 1.0000 0.025000 0.737000 0.7370
22  3 0.9167 0.025000 0.730000 0.7300
23  3 0.9167 0.025000 0.704000 0.7040
 0  4 0.2500 0.025000 0.636000 0.6360
 1  4 0.5000 0.025000 0.665000 0.6650
 2  4 1.0000 0.025000 1.975000 0.9140
 3  4 0.9167 0.025000 1.975000 0.9140
 4  4 1.0000 0.025000 1.975000 0.9100
 5  4 0.9167 0.025000 0.877000 0.8770
 6  4 0.9167 0.025000 0.809000 0.8090
 7  4 0.9167 0.025000 0.865000 0.8650
 8  4 0.8333 0.025000 0.789000 0.7890
 9  4 0.9167 0.025000 0.868000 0.8680
10  4 0.5833 0.025000 0.792000 0.7920
11  4 0.9167 0.025000 0.841000 0.8410
12  4 1.0000 0.025000 1.975000 0.9060
13  4 0.8333 0.025000 0.865000 0.8650
14  4 0.8333 0.025000 0.830000 0.8300
15  4 0.8333 0.025000 0.866000 0.8660
16  4 1.0000 0.025000 1.975000 0.9150
17  4 0.9167 0.025000 0.892000 0.8920
18  4 0.9167 0.025000 0.897000 0.8970
19  4 1.0000 0.025000 0.897000 0.8970
20  4 1.0000 0.025000 0.878000 0.8780
21  4 1.0000 0.025000 0.892000 0.8920
22  4 1.0000 0.025000 0.893000 0.8930
23  4 0.9167 0.025000 0.816000 0.8160
 0  5 0.2500 0.025000 0.626000 0.6260
 1  5 0.5000 0.025000 0.700000 0.7000
 2  5 1.0000 0.025000 0.887000 0.8870
 3  5 0.9167 0.025000 0.824000 0.8240
 4  5 1.0000 0.025000 0.885000 0.8850
 5  5 0.8333 0.025000 0.797000 0.7970
 6  5 0.9167 0.025000 0.806000 0.8060
 7  5 0.9167 0.025000 0.846000 0.8460
 8  5 1.0000 0.025000 0.886000 0.8860
 9  5 0.8333 0.025000 0.850000 0.8500
10  5 1.0000 0.025000 0.815000 0.8150
11  5 0.9167 0.025000 0.847000 0.8470
12  5 1.0000 0.025000 0.852000 0.8520
13  5 0.8333 0.025000 0.792000 0.7920
14  5 0.8333 0.025000 0.808000 0.8080
15  5 0.9167 0.025000 0.833000 0.8330
16  5 1.0000 0.025000 0.855000 0.8550
17  5 1.0000 0.025000 0.852000 0.8520
18  5 0.9167 0.025000 0.832000 0.8320
19  5 0.7500 0.025000 0.782000 0.7820
20  5 0.9167 0.025000 0.815000 0.8150
21  5 0.7500 0.025000 0.831000 0.8310
22  5 1.0000 0.025000 0.886000 0.8860
23  5 0.8333 0.025000 0.798000 0.7980
 0  6 0.2500 0.025000 0.578000 0.5780
 1  6 0.5000 0.025000 0.679000 0.6790
 2  6 1.0000 0.025000 0.768000 0.7680
 3  6 0.9167 0.025000 0.716000 0.7160
 4  6 1.0000 0.025000 0.779000 0.7790
 5  6 0.9167 0.025000 0.765000 0.7650
 6  6 0.8333 0.025000 0.721000 0.7210
 7  6 0.8333 0.025000 0.820000 0.8200
 8  6 0.8333 0.025000 0.715000 0.7150
 9  6 0.9167 0.025000 0.709000 0.7090
10  6 0.9167 0.025000 0.741000 0.7410
11  6 0.8333 0.025000 0.715000 0.7150
12  6 0.9167 0.025000 0.763000 0.7630
13  6 1.0000 0.025000 0.838000 0.8380
14  6 0.8333 0.025000 0.825000 0.8250
15  6 0.8333 0.025000 0.712000 0.7120
16  6 0.8333 0.025000 0.690000 0.6900
17  6 1.0000 0.025000 0.683000 0.6830
18  6 0.8333 0.025000 0.697000 0.6970
19  6 1.0000 0.025000 0.763000 0.7630
20  6 0.8333 0.025000 0.818000 0.8180
21  6 0.9167 0.025000 0.781000 0.7810
22  6 0.8333 0.025000 0.816000 0.8160
23  6 0.9167 0.025000 0.731000 0.7310
 0  7 0.2500 0.025000 0.749000 0.7490
 1  7 0.5000 0.025000 0.749000 0.7490
 2  7 1.0000 0.025000 0.803000 0.8030
 3  7 0.9167 0.025000 0.803000 0.8030
 4  7 1.0000 0.025000 0.804000 0.8040
 5  7 1.0000 0.025000 0.823000 0.8230
 6  7 0.9167 0.025000 0.800000 0.8000
 7  7 1.0000 0.025000 0.791000 0.7910
 8  7 0.9167 0.025000 0.801000 0.8010
 9  7 0.9167 0.025000 0.760000 0.7600
10  7 1.0000 0.025000 0.794000 0.7940
11  7 0.9167 0.025000 0.747000 0.7470
12  7 0.9167 0.025000 0.761000 0.7610
13  7 0.9167 0.025000 0.724000 0.7240
14  7 0.6667 0.025000 0.736000 0.7360
15  7 1.0000 0.025000 0.799000 0.7990
16  7 0.9167 0.025000 0.790000 0.7900
17  7 1.0000 0.025000 0.805000 0.8050
18  7 1.0000 0.025000 0.832000 0.8320
19  7 0.9167 0.025000 0.797000 0.7970
20  7 0.9167 0.025000 0.675000 0.6750
21  7 0.9167 0.025000 0.741000 0.7410
22  7 0.9167 0.025000 0.757000 0.7570
23  7 0.9167 0.025000 0.763000 0.7630
 0  8 0.2500 0.025000 0.735000 0.7350
 1  8 0.5000 0.025000 0.731000 0.7310
 2  8 1.0000 0.025000 0.730000 0.7300
 3  8 0.9167 0.025000 0.735000 0.7350
 4  8 1.0000 0.025000 0.757000 0.7570
 5  8 1.0000 0.025000 0.761000 0.7610
 6  8 0.7500 0.025000 0.744000 0.7440
 7  8 0.8333 0.025000 0.737000 0.7370
 8  8 0.7500 0.025000 0.671000 0.6710
 9  8 1.0000 0.025000 0.736000 0.7360
10  8 1.0000 0.025000 0.753000 0.7530
11  8 0.9167 0.025000 0.756000 0.7560
12  8 1.0000 0.025000 0.744000 0.7440
13  8 0.5833 0.025000 0.722000 0.7220
14  8 0.7500 0.025000 0.737000 0.7370
15  8 0.9167 0.025000 0.749000 0.7490
16  8 0.9167 0.025000 0.764000 0.7640
17  8 1.0000 0.025000 0.749000 0.7490
18  8 0.8333 0.025000 0.705000 0.7050
19  8 1.0000 0.025000 0.737000 0.7370
20  8 1.0000 0.025000 0.616000 0.6160
21  8 0.9167 0.025000 0.753000 0.7530
22  8 0.9167 0.025000 0.738000 0.7380
23  8 0.8333 0.025000 0.736000 0.7360
 0  9 0.2500 0.025000 0.625000 0.6250
 1  9 0.5000 0.025000 0.646000 0.6460
 2  9 1.0000 0.025000 1.975000 0.9240
 3  9 0.9167 0.025000 1.975000 0.9050
 4  9 1.0000 0.025000 1.975000 0.9190
 5  9 0.9167 0.025000 1.975000 0.9030
 6  9 1.0000 0.025000 0.865000 0.8650
 7  9 1.0000 0.025000 0.878000 0.8780
 8  9 0.8333 0.025000 0.847000 0.8470
 9  9 1.0000 0.025000 0.868000 0.8680
10  9 1.0000 0.025000 0.844000 0.8440
11  9 0.9167 0.025000 0.891000 0.8910
12  9 0.9167 0.025000 0.821000 0.8210
13  9 0.9167 0.025000 0.852000 0.8520
14  9 1.0000 0.025000 0.848000 0.8480
