REWIRING vs ADD/REMOVE under a CONTINUOUS objective (acc - 1.000*energy)
N=12 hidden=10 K=3, 30 seeds x 150 gens, PSLIDE=0.020
compact conv = width -> K, coverage -> 1, shared-frac -> 1

SENSITIVITY  placement: objective 0.5950..0.9283 (span 0.3333) at energy 0.025000..0.025000
SENSITIVITY  width:     objective 0.4283..0.8567 (span 0.4283)

  arm             shared-frac  mean-w  max-w  coverage  energy   test
RAW 0 150 1 0.9167 9.5000 11.0000 1.0000 0.091667 0.9020
RAW 0 150 2 0.9167 4.5000 11.0000 1.0000 0.091667 0.8960
RAW 0 150 3 0.8333 4.4000 10.0000 1.0000 0.083333 0.8830
RAW 0 150 4 1.0000 8.5000 12.0000 1.0000 0.100000 0.9000
RAW 0 150 5 0.8333 8.0000 10.0000 1.0000 0.083333 0.8540
RAW 0 150 6 1.0000 4.2000 12.0000 1.0000 0.100000 0.8820
RAW 0 150 7 0.8333 6.5000 10.0000 1.0000 0.083333 0.9040
RAW 0 150 8 0.8333 3.0000 10.0000 1.0000 0.083333 0.9260
RAW 0 150 9 1.0000 11.7000 12.0000 1.0000 0.100000 0.9270
RAW 0 150 10 1.0000 5.2000 12.0000 1.0000 0.100000 0.9350
RAW 0 150 11 0.8333 8.2000 10.0000 1.0000 0.083333 0.9090
RAW 0 150 12 0.9167 10.8000 11.0000 1.0000 0.091667 0.8720
RAW 0 150 13 1.0000 9.2000 12.0000 1.0000 0.100000 0.9010
RAW 0 150 14 1.0000 9.2000 12.0000 1.0000 0.100000 0.8630
RAW 0 150 15 0.9167 8.6000 11.0000 1.0000 0.091667 0.8860
RAW 0 150 16 1.0000 8.6000 12.0000 1.0000 0.100000 0.9000
RAW 0 150 17 1.0000 2.2000 12.0000 1.0000 0.100000 0.8680
RAW 0 150 18 1.0000 2.4000 12.0000 1.0000 0.100000 0.8520
RAW 0 150 19 1.0000 2.4000 12.0000 1.0000 0.100000 0.8240
RAW 0 150 20 1.0000 5.9000 12.0000 1.0000 0.100000 0.9500
RAW 0 150 21 0.8333 6.7000 10.0000 1.0000 0.083333 0.9170
RAW 0 150 22 0.8333 4.8000 10.0000 1.0000 0.083333 0.8580
RAW 0 150 23 1.0000 10.6000 12.0000 1.0000 0.100000 0.8310
RAW 0 150 24 1.0000 2.7000 12.0000 1.0000 0.100000 0.8010
RAW 0 150 25 1.0000 9.9000 12.0000 1.0000 0.100000 0.9330
RAW 0 150 26 0.9167 8.6000 11.0000 1.0000 0.091667 0.9300
RAW 0 150 27 0.9167 5.2000 11.0000 1.0000 0.091667 0.9200
RAW 0 150 28 0.9167 10.6000 11.0000 1.0000 0.091667 0.9510
RAW 0 150 29 0.9167 8.7000 11.0000 1.0000 0.091667 0.8980
RAW 0 150 30 0.9167 8.0000 11.0000 1.0000 0.091667 0.9220
  0 no-rewire      0.951       6.64    11.19   0.933    0.1183   0.893
RAW 1 150 1 0.9167 3.6000 9.0000 1.0000 0.075000 0.9490
RAW 1 150 2 0.9167 4.3000 9.0000 1.0000 0.075000 0.9280
RAW 1 150 3 0.9167 3.6000 9.0000 1.0000 0.075000 0.9240
RAW 1 150 4 1.0000 3.6000 11.0000 1.0000 0.091667 0.9110
RAW 1 150 5 0.9167 3.7000 9.0000 1.0000 0.075000 0.9070
RAW 1 150 6 0.9167 2.9000 9.0000 1.0000 0.075000 0.8680
RAW 1 150 7 0.8333 8.0000 10.0000 1.0000 0.083333 0.9010
RAW 1 150 8 0.8333 3.3000 9.0000 1.0000 0.075000 0.9270
RAW 1 150 9 1.0000 4.6000 10.0000 1.0000 0.083333 0.9480
RAW 1 150 10 1.0000 3.7000 10.0000 1.0000 0.083333 0.9530
RAW 1 150 11 0.8333 3.6000 9.0000 1.0000 0.075000 0.8700
RAW 1 150 12 1.0000 7.9000 11.0000 1.0000 0.091667 0.8850
RAW 1 150 13 1.0000 3.2000 11.0000 1.0000 0.091667 0.9010
RAW 1 150 14 1.0000 8.0000 12.0000 1.0000 0.100000 0.8850
RAW 1 150 15 1.0000 3.6000 10.0000 1.0000 0.083333 0.9290
RAW 1 150 16 0.8333 3.0000 9.0000 1.0000 0.075000 0.9350
RAW 1 150 17 1.0000 2.4000 11.0000 1.0000 0.091667 0.8590
RAW 1 150 18 1.0000 2.1000 11.0000 1.0000 0.091667 0.8190
RAW 1 150 19 1.0000 4.7000 12.0000 1.0000 0.100000 0.7280
RAW 1 150 20 1.0000 6.2000 12.0000 1.0000 0.100000 0.9400
RAW 1 150 21 0.9167 3.5000 8.0000 1.0000 0.066667 0.9430
RAW 1 150 22 0.9167 2.8000 9.0000 1.0000 0.075000 0.9190
RAW 1 150 23 1.0000 3.2000 11.0000 1.0000 0.091667 0.8500
RAW 1 150 24 1.0000 3.4000 11.0000 1.0000 0.091667 0.8350
RAW 1 150 25 0.9167 3.6000 9.0000 1.0000 0.075000 0.9590
