place seed coverage final aulc
 0  1 0.2500 0.7270 0.7274
 1  1 0.2500 0.5860 0.5855
 2  1 0.2500 0.6150 0.6117
 3  1 0.2500 0.6200 0.5973
 4  1 0.5000 0.7040 0.7126
 5  1 0.5000 0.7040 0.7125
 6  1 0.7500 0.7280 0.7383
 7  1 1.0000 0.7990 0.7687
 8  1 0.9167 0.7760 0.7645
 9  1 1.0000 0.7970 0.7947
10  1 0.9167 0.7730 0.7537
11  1 0.5000 0.7640 0.7689
12  1 1.0000 0.7950 0.7840
13  1 0.5000 0.7660 0.7401
14  1 0.5833 0.7650 0.7638
15  1 0.7500 0.8060 0.8003
 0  2 0.2500 0.6750 0.6737
 1  2 0.2500 0.6640 0.6613
 2  2 0.2500 0.6430 0.6293
 3  2 0.2500 0.5670 0.5611
 4  2 0.5000 0.6800 0.6654
 5  2 0.5000 0.6810 0.6427
 6  2 0.7500 0.8140 0.7903
 7  2 1.0000 0.8990 0.8913
 8  2 0.9167 0.9190 0.8941
 9  2 1.0000 0.9020 0.8787
10  2 0.9167 0.9170 0.8977
11  2 0.5000 0.7300 0.7233
12  2 1.0000 0.9120 0.8801
13  2 0.5000 0.7310 0.7169
14  2 0.5833 0.8020 0.7684
15  2 0.7500 0.8550 0.8142
 0  3 0.2500 0.6600 0.6583
 1  3 0.2500 0.6130 0.6165
 2  3 0.2500 0.5940 0.5962
 3  3 0.2500 0.6550 0.6511
 4  3 0.5000 0.6750 0.6704
 5  3 0.5000 0.6750 0.6701
 6  3 0.7500 0.6480 0.6472
 7  3 1.0000 0.7600 0.7677
 8  3 0.9167 0.6660 0.6740
 9  3 1.0000 0.7050 0.7144
10  3 0.9167 0.6920 0.6816
11  3 0.5000 0.6630 0.6595
12  3 1.0000 0.7920 0.7859
13  3 0.5000 0.6630 0.6671
14  3 0.5833 0.6520 0.6577
15  3 0.7500 0.7400 0.6781
 0  4 0.2500 0.6360 0.6311
 1  4 0.2500 0.6830 0.6764
 2  4 0.2500 0.6600 0.6502
 3  4 0.2500 0.5770 0.5716
 4  4 0.5000 0.6650 0.6496
 5  4 0.5000 0.6640 0.6493
 6  4 0.7500 0.7820 0.7630
 7  4 1.0000 0.9100 0.8958
 8  4 0.9167 0.9160 0.8774
 9  4 1.0000 0.9100 0.9076
10  4 0.9167 0.9160 0.8943
11  4 0.5000 0.7320 0.7270
12  4 1.0000 0.9120 0.8340
13  4 0.5000 0.7310 0.7275
14  4 0.5833 0.7560 0.7403
15  4 0.7500 0.8730 0.8396
 0  5 0.2500 0.6260 0.6146
 1  5 0.2500 0.6700 0.6726
 2  5 0.2500 0.6680 0.6686
 3  5 0.2500 0.6610 0.6606
 4  5 0.5000 0.7010 0.7020
 5  5 0.5000 0.7000 0.6985
 6  5 0.7500 0.7610 0.7603
 7  5 1.0000 0.8820 0.8441
 8  5 0.9167 0.8260 0.8281
 9  5 1.0000 0.8880 0.8364
10  5 0.9167 0.8280 0.8313
11  5 0.5000 0.7440 0.7441
12  5 1.0000 0.8860 0.8807
13  5 0.5000 0.7450 0.7225
14  5 0.5833 0.7530 0.7519
15  5 0.7500 0.7860 0.7946
 0  6 0.2500 0.5780 0.5770
 1  6 0.2500 0.6430 0.6463
 2  6 0.2500 0.6790 0.6790
 3  6 0.2500 0.6450 0.6435
 4  6 0.5000 0.6790 0.6761
 5  6 0.5000 0.6790 0.6763
 6  6 0.7500 0.6230 0.6210
 7  6 1.0000 0.7710 0.7822
 8  6 0.9167 0.7150 0.7046
 9  6 1.0000 0.7760 0.7791
10  6 0.9167 0.7140 0.7279
11  6 0.5000 0.6250 0.6210
12  6 1.0000 0.7730 0.7831
13  6 0.5000 0.6250 0.6218
14  6 0.5833 0.6550 0.6566
15  6 0.7500 0.7070 0.7078
 0  7 0.2500 0.7490 0.7488
 1  7 0.2500 0.5340 0.5304
 2  7 0.2500 0.5770 0.5740
 3  7 0.2500 0.6480 0.6184
 4  7 0.5000 0.7490 0.7477
 5  7 0.5000 0.7490 0.7492
 6  7 0.7500 0.7900 0.7872
 7  7 1.0000 0.8070 0.8016
 8  7 0.9167 0.8180 0.8021
 9  7 1.0000 0.8040 0.7907
10  7 0.9167 0.8170 0.8067
11  7 0.5000 0.7440 0.7535
12  7 1.0000 0.8060 0.7974
13  7 0.5000 0.7450 0.7522
14  7 0.5833 0.7780 0.7580
15  7 0.7500 0.8000 0.7789
 0  8 0.2500 0.7350 0.7344
 1  8 0.2500 0.5660 0.5652
 2  8 0.2500 0.5780 0.5693
 3  8 0.2500 0.7110 0.7091
 4  8 0.5000 0.7320 0.7359
